"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"FDT 2.0: Improving scalability of the fuzzy decision tree induction tool - integrating database storage","E. E. A. Durham; X. Yu; R. W. Harrison","Department of Computer Science, Georgia State University, Atlanta, USA","2014 IEEE Symposium on Computational Intelligence in Healthcare and e-health (CICARE)","20150115","2014","","","187","190","Effective machine-learning handles large datasets efficiently. One key feature of handling large data is the use of databases such as MySQL. The freeware fuzzy decision tree induction tool, FDT, is a scalable supervised-classification software tool implementing fuzzy decision trees. It is based on an optimized fuzzy ID3 (FID3) algorithm. FDT 2.0 improves upon FDT 1.0 by bridging the gap between data science and data engineering: it combines a robust decisioning tool with data retention for future decisions, so that the tool does not need to be recalibrated from scratch every time a new decision is required. In this paper we briefly review the analytical capabilities of the freeware FDT tool and its major features and functionalities; examples of large biological datasets from HIV, microRNAs and sRNAs are included. This work shows how to integrate fuzzy decision algorithms with modern database technology. In addition, we show that integrating the fuzzy decision tree induction tool with database storage allows for optimal user satisfaction in today's Data Analytics world.","","Electronic:978-1-4799-4527-6; POD:978-1-4799-4526-9","10.1109/CICARE.2014.7007853","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7007853","Big Data;HIV protease;drug resistance prediction;fuzzy ID3;fuzzy logic","Accuracy;Algorithm design and analysis;Databases;Decision trees;Educational institutions;Training;Training data","database management systems;decision trees;fuzzy set theory;software tools;storage management","FDT 2.0;FID3 algorithm;HIV;MySQL;data analytics world;data engineering;data retention;data science;database storage;database technology;freeware FDT tool;freeware fuzzy decision tree induction tool;fuzzy decision algorithms;large biological datasets;large data handling;machine learning;microRNA;optimal user satisfaction;optimized fuzzy ID3;robust decisioning tool;sRNA;scalable supervised-classification software tool","","1","","6","","","","9-12 Dec. 2014","","IEEE","IEEE Conferences"
"High-performance geometric algorithms for sparse computation in big data analytics","P. Baumann; D. S. Hochbaum; Q. Spaen","Department of Business Administration, University of Bern, Switzerland","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","546","555","Several leading supervised and unsupervised machine learning algorithms require as input similarities between objects in a data set. Since the number of pairwise similarities grows quadratically with the size of the data set, it is computationally prohibitive to compute all pairwise similarities for large-scale data sets. The recently introduced methodology of “sparse computation” resolves this issue by computing only the relevant similarities instead of all pairwise similarities. To identify the relevant similarities, sparse computation efficiently projects the data onto a low-dimensional space where a similarity is considered relevant if the corresponding objects are close in this space. The relevant similarities are then computed in the original space. Sparse computation identifies close pairs by partitioning the low-dimensional space into grid blocks, and considering objects close if they fall in the same or adjacent grid blocks. This guarantees that all pairs of objects that are within a specified L<sub>∞</sub> distance are identified as well as some pairs that are within twice this distance. For very large data sets, sparse computation can have high runtime due to the enumeration of pairs of adjacent blocks. We propose here new geometric algorithms that eliminate the need to enumerate adjacent blocks. Our empirical results on data sets with up to 10 million objects show that the new algorithms achieve a significant reduction in runtime. The algorithms have applications in large-scale computational geometry and (approximate) nearest neighbor search. Python implementations of the proposed algorithms are publicly available.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8257970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257970","Big data;computational geometry;similarity-based machine learning;sparse computation;sparsification","Aerospace electronics;Approximation algorithms;Machine learning algorithms;Nearest neighbor searches;Object recognition;Runtime;Sparse matrices","Big Data;computational geometry;data analysis;parallel algorithms;pattern classification;pattern clustering;unsupervised learning","L<sub>∞</sub> distance;Python implementation;adjacent blocks;big data analytics;data set;high-performance geometric algorithms;input similarities;large-scale computational geometry;large-scale data sets;leading supervised machine learning algorithms;low-dimensional space;nearest neighbor search;pairwise similarities;sparse computation resolves this issue;unsupervised machine learning algorithms","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"ZenLDA: Large-scale topic model training on distributed data-parallel platform","B. Zhao; H. Zhou; G. Li; Y. Huang","National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing 210023, China and Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing 210023, China","Big Data Mining and Analytics","20180125","2018","1","1","57","74","Recently, topic models such as Latent Dirichlet Allocation (LDA) have been widely used in large-scale web mining. Many large-scale LDA training systems have been developed, which usually prefer a customized design from top to bottom with sophisticated synchronization support. We propose an LDA training system named ZenLDA, which follows a generalized design for the distributed data-parallel platform. The novelty of ZenLDA consists of three main aspects: (1) it converts the commonly used serial Collapsed Gibbs Sampling (CGS) inference algorithm to a Monte-Carlo Collapsed Bayesian (MCCB) estimation method, which is embarrassingly parallel; (2) it decomposes the LDA inference formula into parts that can be sampled more efficiently to reduce computation complexity; (3) it proposes a distributed LDA training framework, which represents the corpus as a directed graph with the parameters annotated as corresponding vertices and implements ZenLDA and other well-known inference methods based on Spark. Experimental results indicate that MCCB converges with accuracy similar to that of CGS, while running much faster. On top of MCCB, the ZenLDA formula decomposition achieved the fastest speed among other well-known inference methods. ZenLDA also showed good scalability when dealing with large-scale topic models on the data-parallel platform. Overall, ZenLDA could achieve comparable and even better computing performance with state-of-the-art dedicated systems.","","","10.26599/BDMA.2018.9020006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8268736","Monte-Carlo;collapsed Gibbs sampling;graph computing;large-scale machine learning;latent Dirichlet allocation","Bayes methods;Big Data;Computational modeling;Data mining;Inference algorithms;Sparks;Training","","","","","","","","","","March 2018","","TUP","TUP Journals & Magazines"
"Conceptual design of proactive SONs based on the Big Data framework for 5G cellular networks: A novel Machine Learning perspective facilitating a shift in the SON paradigm","B. Keshavamurthy; M. Ashraf","Department of Electronics and Communication, BMS College of Engineering, Bangalore, India","2016 International Conference System Modeling & Advancement in Research Trends (SMART)","20170412","2016","","","298","304","Self-Organizing Networks (SONs) are being researched extensively in the existing 3G and 4G landscape primarily to facilitate a convenient yet cost-effective approach in the configuration, optimization and troubleshooting of networks. However, the existing SONs will be no match for the operational complexity of the envisioned 5G networks. The promise of 5G revolves around the premise of infinite capacity and zero latency. 5G networks are set for commercial availability by 2020 and these networks will be part of a flexible and dynamic telecom ecosystem supporting cross-domain integration and multi-RAT environments. Network Densification, Network Function Virtualization, Flexible spectrum allocation, E2E security and Massive MTC are a few of the features promised by 5G networks. With this assortment of numerous technologies, it is obvious that SONs have to evolve beyond the existing reactive paradigm without which the maintenance and management of 5G networks would prove to be a herculean task. Hence, we propose a novel Proactive SON methodology based on the Big Data framework to enable the shift in the SON paradigm. In this article we present a comprehensive Big-Data based SON framework involving innovative Machine Learning techniques which would cater to scalability and programmability of 5G networks with respect to availability, reliability, speed, capacity, security and latency.","","Electronic:978-1-5090-3543-4; POD:978-1-5090-3544-1","10.1109/SYSMART.2016.7894539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7894539","Bitmaps;COD;Handover;Heuristic Analysis;KPIs;LTE;MTC;Regression;Root Cause Analysis;SONs;UMTS","3GPP;5G mobile communication;Automation;Big Data;Cellular networks;Complexity theory;Maintenance engineering","5G mobile communication;Big Data;cellular radio;learning (artificial intelligence);radio access networks;telecommunication computing;telecommunication network management;telecommunication network reliability;telecommunication security;virtualisation","3G landscape;4G landscape;5G cellular networks;Big-Data based SON framework;E2E security;conceptual proactive SON design;cross-domain integration;flexible dynamic telecom ecosystem;flexible spectrum allocation;machine learning;massive MTC;multiRAT environments;network densification;network function virtualization;self-organizing networks","","","","","","","","25-27 Nov. 2016","","IEEE","IEEE Conferences"
"Big data caching for networking: moving from cloud to edge","E. Zeydan; E. Bastug; M. Bennis; M. A. Kader; I. A. Karatepe; A. S. Er; M. Debbah","Turk Telekom","IEEE Communications Magazine","20160916","2016","54","9","36","42","In order to cope with the relentless data tsunami in 5G wireless networks, current approaches such as acquiring new spectrum, deploying more BSs, and increasing nodes in mobile packet core networks are becoming ineffective in terms of scalability, cost and flexibility. In this regard, context- aware 5G networks with edge/cloud computing and exploitation of big data analytics can yield significant gains for mobile operators. In this article, proactive content caching in 5G wireless networks is investigated in which a big-data-enabled architecture is proposed. In this practical architecture, a vast amount of data is harnessed for content popularity estimation, and strategic contents are cached at BSs to achieve higher user satisfaction and backhaul offloading. To validate the proposed solution, we consider a real-world case study where several hours worth of mobile data traffic is collected from a major telecom operator in Turkey, and big-data-enabled analysis is carried out, leveraging tools from machine learning. Based on the available information and storage capacity, numerical studies show that several gains are achieved in terms of both user satisfaction and backhaul offloading. For example, in the case of 16 BSs with 30 percent of content ratings and 13 GB storage size (78 percent of total library size), proactive caching yields 100 percent user satisfaction and offloads 98 percent of the backhaul.","0163-6804;01636804","","10.1109/MCOM.2016.7565185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7565185","","5G mobile communication;Big data;Computer architecture;Mobile computing;Wireless networks","5G mobile communication;Big Data;cloud computing;learning (artificial intelligence);telecommunication computing;telecommunication traffic","5G wireless networks;Big data analytics;Big data caching;Turkey;backhaul offloading;cloud to edge;context- aware 5G networks;data tsunami;edge-cloud computing;machine learning;mobile data traffic;mobile packet core networks","","13","","","","","","September 2016","","IEEE","IEEE Journals & Magazines"
"Giving voice to office customers: Best practices in how office handles verbatim text feedback","M. Bentley; S. Batra","Office Product Group, Microsoft, Redmond, WA, USA","2016 IEEE International Conference on Big Data (Big Data)","20170206","2016","","","3826","3832","Microsoft Office users submit hundreds of thousands of pieces of verbatim feedback per month. How can an engineer or manager in Office find the signal in this data to make business decisions? This paper presents an overview of the Office Customer Voice (OCV) system. OCV combines classification, on-demand clustering and other machine learning techniques with a rich web UI to solve this problem. In this paper, we describe the different types of feedback received. Next, we outline the architecture used to build OCV. We then detail the text processing, classification and clustering done to reason on the data. Finally, we present challenges, future plans, and best practices that may be relevant to other teams analyzing customer feedback. We argue that this multi-pronged approach to handling customer feedback presents a pattern that other organizations can use to mature their handling of customer feedback.","","Electronic:978-1-4673-9005-7; POD:978-1-4673-9006-4","10.1109/BigData.2016.7841055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7841055","Customer feedback;classification;clustering;machine learning;natural language processing;nlp","Best practices;Cascading style sheets;Customer services;Data models;Measurement;Software;Training data","learning (artificial intelligence);pattern classification;text analysis","Microsoft Office;OCV system;Office Customer Voice system;customer feedback analysis;machine learning technique;verbatim text feedback","","","","","","","","5-8 Dec. 2016","","IEEE","IEEE Conferences"
"Can We Group Similar Amazon Reviews: A Case Study with Different Clustering Algorithms","C. Fry; S. Manna","Comput. Sci. Dept., California State Polytech. Univ., Pomona, Pomona, CA, USA","2016 IEEE Tenth International Conference on Semantic Computing (ICSC)","20160324","2016","","","374","377","The amount of unstructured text data available is growing exponentially due to the proliferation of digital information such as emails, text messages, blogs, social media posts, and product reviews. For users of e-commerce websites such as Amazon, navigating thousands of reviews before buying a product can be a daunting task. Unsupervised machine learning techniques can be used to automatically analyze preprocessed data from these websites in order to provide consumers with an improved user experience before purchasing a product. In this work, we leverage two flat clustering algorithms on Amazon review data: K-means and Peak-searching to perform clustering of product reviews based on topic. The experimental results show that K-means clustering performs better than Peak-searching clustering in terms of grouping similar reviews based on topics.","","Electronic:978-1-5090-0662-5; POD:978-1-5090-0663-2","10.1109/ICSC.2016.71","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439368","clustering;k-means;peak;reviews","Algorithm design and analysis;Approximation algorithms;Blogs;Clustering algorithms;Computer science;Electronic mail;Measurement","Web sites;electronic commerce;information retrieval;pattern clustering;purchasing;retail data processing;reviews;text analysis;unsupervised learning","Amazon review data;K-means clustering;digital information proliferation;e-commerce Websites;improved user experience;peak-searching clustering;product purchasing;product review clustering algorithms;similar Amazon review grouping;unstructured text data;unsupervised machine learning techniques","","","","12","","","","4-6 Feb. 2016","","IEEE","IEEE Conferences"
"Biclustering Learning of Trading Rules","Q. Huang; T. Wang; D. Tao; X. Li","School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China","IEEE Transactions on Cybernetics","20170520","2015","45","10","2287","2298","Technical analysis with numerous indicators and patterns has been regarded as important evidence for making trading decisions in financial markets. However, it is extremely difficult for investors to find useful trading rules based on numerous technical indicators. This paper innovatively proposes the use of biclustering mining to discover effective technical trading patterns that contain a combination of indicators from historical financial data series. This is the first attempt to use biclustering algorithm on trading data. The mined patterns are regarded as trading rules and can be classified as three trading actions (i.e., the buy, the sell, and no-action signals) with respect to the maximum support. A modified K nearest neighborhood (K-NN) method is applied to classification of trading days in the testing period. The proposed method [called biclustering algorithm and the K nearest neighbor (BIC-K-NN)] was implemented on four historical datasets and the average performance was compared with the conventional buy-and-hold strategy and three previously reported intelligent trading systems. Experimental results demonstrate that the proposed trading system outperforms its counterparts and will be useful for investment in various financial markets.","2168-2267;21682267","","10.1109/TCYB.2014.2370063","Australian Research Council Linkage Project; Key Research Program of the Chinese Academy of Sciences; National Basic Research Program of China (973 Program); Projects of Innovative Science and Technology, Department of Education, Guangdong Province; 10.13039/501100001809 - National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6975065","Biclustering;machine learning;technical analysis;trading rules","Artificial neural networks;Clustering algorithms;Data mining;Evolution (biology);Indexes;Market research;Stock markets","data mining;financial data processing;investment;learning (artificial intelligence);pattern classification;pattern clustering;stock markets","BIC-K-NN;K-NN method;biclustering learning;biclustering mining;financial markets;historical financial data series;investment;modified K nearest neighborhood method;pattern mining;technical analysis;technical indicators;technical trading patterns;trading day classification;trading decision making;trading rules","","6","","41","","","20141204","Oct. 2015","","IEEE","IEEE Journals & Magazines"
"Sketched Subspace Clustering","P. A. Traganitis; G. B. Giannakis","Department of Electrical and Computer Engineering and the Digital Technology Center, University of Minnesota, Minneapolis, MN, USA","IEEE Transactions on Signal Processing","20180214","2018","66","7","1663","1675","The immense amount of daily generated and communicated data presents unique challenges in their processing. Clustering, the grouping of data without the presence of ground-truth labels, is an important tool for drawing inferences from data. Subspace clustering (SC) is a relatively recent method that is able to successfully classify nonlinearly separable data in a multitude of settings. In spite of their high clustering accuracy, SC methods incur prohibitively high computational complexity when processing large volumes of high-dimensional data. Inspired by random sketching approaches for dimensionality reduction, the present paper introduces a randomized scheme for SC, termed Sketch-SC, tailored for large volumes of high-dimensional data. Sketch-SC accelerates the computationally heavy parts of state-of-the-art SC approaches by compressing the data matrix across both dimensions using random projections, thus enabling fast and accurate large-scale SC. Performance analysis as well as extensive numerical tests on real data corroborate the potential of Sketch-SC and its competitive performance relative to state-of-the-art scalable SC approaches.","1053-587X;1053587X","","10.1109/TSP.2017.2781649","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170271","Subspace clustering;big data;random projections;sketching","Clustering algorithms;Computational complexity;Machine learning algorithms;Matrix decomposition;Optimization;Signal processing algorithms","computational complexity;data handling;pattern classification;pattern clustering","Sketch-SC;computational complexity;data matrix;dimensionality reduction;random sketching approaches;sketched subspace clustering","","","","","","","20171208","April1, 1 2018","","IEEE","IEEE Journals & Magazines"
"Assessing short-term social media marketing outreach of a healthcare organization using machine learning","N. Melethadathil; B. Nair; S. Diwakar; S. Pazhanivelu","Amrita School of Biotechnology Amrita Vishwa Vidyapeetham (Amrita University) Clappana P.O., Kollam, Kerala 690525, India","2017 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","20171204","2017","","","387","392","Social networking portals serve as an ideal platform for a person or an organization, to accomplish self-presentation and self-enhancement goals there by to understand their social relevance and hence, there have been many studies attempting to identify the relationship between different aspects of social media articles. Machine learning methods play a critical role in social media data analytics. This study evaluates the efficiency of predictive analytics with social media data of a private healthcare institution using classification and clustering algorithms. In this study, we also investigated the influence of system specific feature set and user generated features of social media articles to identify relevant data mining algorithms that are suitable for identifying knowledge-related patterns in dataset. Among the classification methods it is found that Bayesian algorithm performs better compared to other classification techniques. K-Means and Filtered cluster among the clustering techniques have better predictive analytics efficiency compared to other algorithms. Identifying the predictive analytics efficacy of these algorithms helps healthcare institution to build a model with most appropriate characteristics of social media articles.","","Electronic:978-1-5090-6367-3; POD:978-1-5090-6368-0; USB:978-1-5090-6366-6","10.1109/ICACCI.2017.8125871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125871","","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Data mining;Decision trees;Prediction algorithms;Social network services","Bayes methods;data analysis;data mining;health care;learning (artificial intelligence);marketing data processing;pattern clustering;portals;social networking (online)","Bayesian algorithm;classification;clustering algorithms;data mining algorithms;healthcare organization;machine learning methods;predictive analytics efficiency;self-enhancement goals;self-presentation goals;short-term social media marketing outreach;social media articles;social media data analytics;social networking portals;social relevance","","","","","","","","13-16 Sept. 2017","","IEEE","IEEE Conferences"
