Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Experiential learning approach for requirements engineering education","Requirements Engineering","","14","4","10.1007/s00766-009-0084-x","Gil RegevDonald C. GauseAlain Wegmann","2009","http://link.springer.com/article/10.1007/s00766-009-0084-x","Article"
"Requirements engineering education: a systematic mapping study","Requirements Engineering","","20","2","10.1007/s00766-013-0192-5","Sofia OuhbiAli IdriJosé Luis Fernández-AlemánAmbrosio Toval","2015","http://link.springer.com/article/10.1007/s00766-013-0192-5","Article"
"Experience-Oriented Approaches for Teaching and Training Requirements Engineering: An Experience Report","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-05843-6_19","Andrea HerrmannAnne HoffmannDieter LandesRüediger Weißbach","2014","http://link.springer.com/chapter/10.1007/978-3-319-05843-6_19","Chapter"
"Is role playing in Requirements Engineering Education increasing learning outcome?","Requirements Engineering","","22","4","10.1007/s00766-016-0248-4","Richard Berntsson SvenssonBjörn Regnell","2017","http://link.springer.com/article/10.1007/s00766-016-0248-4","Article"
"Analysis and Classification of Problems Associated with Requirements Engineering Education: Towards an Integrated View","Arabian Journal for Science and Engineering","","39","3","10.1007/s13369-013-0901-x","Rafia Naz MemonSiti Salwah SalimRodina Ahmad","2014","http://link.springer.com/article/10.1007/s13369-013-0901-x","Article"
"A Requirements Engineering Process for User Centered IT Services – Gathering Service Requirements for the University of the Future","Design, User Experience, and Usability: Understanding Users and Contexts","","","","10.1007/978-3-319-58640-3_20","Dominik RudolphAnne ThoringChristian RemfertRaimund Vogl","2017","http://link.springer.com/chapter/10.1007/978-3-319-58640-3_20","Chapter"
"Instructional Design of a Requirements Engineering Education Course for Professional Engineers","Multimedia Services in Intelligent Environments","","","","10.1007/978-3-642-13396-1_6","Takako NakataniToshihiko TsumakiTetsuo Tamai","2010","http://link.springer.com/chapter/10.1007/978-3-642-13396-1_6","Chapter"
"The impact of domain knowledge on the effectiveness of requirements engineering activities","Empirical Software Engineering","","22","1","10.1007/s10664-015-9416-2","Ali NiknafsDaniel Berry","2017","http://link.springer.com/article/10.1007/s10664-015-9416-2","Article"
"Common Threats and Mitigation Strategies in Requirements Engineering Experiments with Student Participants","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-30282-9_19","Marian DaunAndrea SalmonTorsten BandyszakThorsten Weyer","2016","http://link.springer.com/chapter/10.1007/978-3-319-30282-9_19","Chapter"
"Viewpoint: effectiveness of focused mentoring to improve requirements engineering industrial practice","Requirements Engineering","","22","3","10.1007/s00766-017-0269-7","Sarah C. GregoryJohn Terzakis","2017","http://link.springer.com/article/10.1007/s00766-017-0269-7","Article"
"Requirements engineering: An educational dilemma","Automated Software Engineering","","2","4","10.1007/BF00871804","Linda MacaulayJohn Mylopoulos","1995","http://link.springer.com/article/10.1007/BF00871804","Article"
