Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Scalable aggregation predictive analytics","Applied Intelligence","","","","10.1007/s10489-017-1093-y","Christos AnagnostopoulosFotis SavvaPeter Triantafillou","2017","http://link.springer.com/article/10.1007/s10489-017-1093-y","Article"
"Big Data: from collection to visualization","Machine Learning","","106","6","10.1007/s10994-016-5622-4","Mohammed GhesmouneHanene AzzagSalima BenbernouMustapha LebbahTarn DuongMourad Ouziri","2017","http://link.springer.com/article/10.1007/s10994-016-5622-4","Article"
"Data science at SoBigData: the European research infrastructure for social mining and big data analytics","International Journal of Data Science and Analytics","","","","10.1007/s41060-018-0126-x","Valerio GrossiBeatrice RapisardaFosca GiannottiDino Pedreschi","2018","http://link.springer.com/article/10.1007/s41060-018-0126-x","Article"
"Big data algorithms beyond machine learning","KI - Künstliche Intelligenz","","32","1","10.1007/s13218-017-0517-5","Matthias Mnich","2018","http://link.springer.com/article/10.1007/s13218-017-0517-5","Article"
"One-pass MapReduce-based clustering method for mixed large scale data","Journal of Intelligent Information Systems","","","","10.1007/s10844-017-0472-5","Mohamed Aymen Ben HajKacemChiheb-Eddine Ben N’cirNadia Essoussi","2017","http://link.springer.com/article/10.1007/s10844-017-0472-5","Article"
"A systematic review and comparative analysis of cross-document coreference resolution methods and tools","Computing","","99","4","10.1007/s00607-016-0490-0","Seyed-Mehdi-Reza BeheshtiBoualem BenatallahSrikumar VenugopalSeung Hwan RyuHamid Reza Motahari-NezhadWei Wang","2017","http://link.springer.com/article/10.1007/s00607-016-0490-0","Article"
"Big Data Management: What to Keep from the Past to Face Future Challenges?","Data Science and Engineering","","2","4","10.1007/s41019-017-0043-3","G. Vargas-SolarJ. L. Zechinelli-MartiniJ. A. Espinosa-Oviedo","2017","http://link.springer.com/article/10.1007/s41019-017-0043-3","Article"
"Internet of Things and Big Data: the disruption of the value chain and the rise of new software ecosystems","AI & SOCIETY","","33","2","10.1007/s00146-018-0807-y","Norbert Jesse","2018","http://link.springer.com/article/10.1007/s00146-018-0807-y","Article"
"Experience report on applying software analytics in incident management of online service","Automated Software Engineering","","24","4","10.1007/s10515-017-0218-1","Jian-Guang LouQingwei LinRui DingQiang FuDongmei ZhangTao Xie","2017","http://link.springer.com/article/10.1007/s10515-017-0218-1","Article"
"An approach to validity indices for clustering techniques in Big Data","Progress in Artificial Intelligence","","7","2","10.1007/s13748-017-0135-3","José María Luna-RomeraJorge García-GutiérrezMaría Martínez-BallesterosJosé C. Riquelme Santos","2018","http://link.springer.com/article/10.1007/s13748-017-0135-3","Article"
"Fuzzy C-means for english sentiment classification in a distributed system","Applied Intelligence","","46","3","10.1007/s10489-016-0858-z","Vo Ngoc PhuNguyen Duy DatVo Thi Ngoc TranVo Thi Ngoc ChauTuan A. Nguyen","2017","http://link.springer.com/article/10.1007/s10489-016-0858-z","Article"
"Semi-supervised machine learning approach for DDoS detection","Applied Intelligence","","","","10.1007/s10489-018-1141-2","Mohamed IdhammadKarim AfdelMustapha Belouch","2018","http://link.springer.com/article/10.1007/s10489-018-1141-2","Article"
"Using data to build a better EM: EM* for big data","International Journal of Data Science and Analytics","","4","2","10.1007/s41060-017-0062-1","Hasan KurbanMark JenneMehmet M. Dalkilic","2017","http://link.springer.com/article/10.1007/s41060-017-0062-1","Article"
"A real-time recommendation engine using lambda architecture","Artificial Life and Robotics","","","","10.1007/s10015-017-0424-8","Thanisa Numnonda","2017","http://link.springer.com/article/10.1007/s10015-017-0424-8","Article"
"Short-text feature construction and selection in social media data: a survey","Artificial Intelligence Review","","49","3","10.1007/s10462-016-9528-0","Antonela TommaselDaniela Godoy","2018","http://link.springer.com/article/10.1007/s10462-016-9528-0","Article"
"Efficient data distribution and results merging for parallel data clustering in mapreduce environment","Applied Intelligence","","","","10.1007/s10489-017-1089-7","Abdelhak BousbaciNadjet Kamel","2017","http://link.springer.com/article/10.1007/s10489-017-1089-7","Article"
"Data science as a language: challenges for computer science—a position paper","International Journal of Data Science and Analytics","","","","10.1007/s41060-018-0103-4","Arno Siebes","2018","http://link.springer.com/article/10.1007/s41060-018-0103-4","Article"
"Memory-enriched big bang–big crunch optimization algorithm for data clustering","Neural Computing and Applications","","29","6","10.1007/s00521-016-2528-9","Kayvan BijariHadi ZareHadi VeisiHossein Bobarshad","2018","http://link.springer.com/article/10.1007/s00521-016-2528-9","Article"
"A new approximate query engine based on intelligent capture and fast transformations of granulated data summaries","Journal of Intelligent Information Systems","","50","2","10.1007/s10844-017-0471-6","Dominik ŚlęzakRick GlickPaweł BetlińskiPiotr Synak","2018","http://link.springer.com/article/10.1007/s10844-017-0471-6","Article"
"Provenance Network Analytics","Data Mining and Knowledge Discovery","","32","3","10.1007/s10618-017-0549-3","Trung Dong HuynhMark EbdenJoel FischerStephen RobertsLuc Moreau","2018","http://link.springer.com/article/10.1007/s10618-017-0549-3","Article"
"From Big Data to Big Artificial Intelligence?","KI - Künstliche Intelligenz","","32","1","10.1007/s13218-017-0523-7","Kristian KerstingUlrich Meyer","2018","http://link.springer.com/article/10.1007/s13218-017-0523-7","Article"
"Survey on using constraints in data mining","Data Mining and Knowledge Discovery","","31","2","10.1007/s10618-016-0480-z","Valerio GrossiAndrea RomeiFranco Turini","2017","http://link.springer.com/article/10.1007/s10618-016-0480-z","Article"
"Data Science: a proposal for a curriculum","International Journal of Data Science and Analytics","","","","10.1007/s41060-018-0113-2","Göran KauermannThomas Seidl","2018","http://link.springer.com/article/10.1007/s41060-018-0113-2","Article"
"VIAL: a unified process for visual interactive labeling","The Visual Computer","","","","10.1007/s00371-018-1500-3","Jürgen BernardMatthias ZeppelzauerMichael SedlmairWolfgang Aigner","2018","http://link.springer.com/article/10.1007/s00371-018-1500-3","Article"
